trial,dataset,family,pr(Y=1|S=mc),DP,"t(P(S=1), DP)","t(P(S=1), DP_ground_truth)",I_v(X_to_S)
1,credit_card,mlp_one_layer,0.35,0.075875041,0.000688727,0.002470757,0.036045164
1,credit_card,mlp_two_layer,0.35,0.079646909,0.000758911,0.002470757,0.076393961
1,credit_card,mlp_three_layer,0.35,0.06995439,0.000585428,0.002470757,0.087320465
1,credit_card,sgd_lr,0.37,0.063859381,0.000487851,0.002870795,0.014578732
1,credit_card,mlp_one_layer,0.37,0.081888102,0.000802227,0.002870795,0.035566954
1,credit_card,mlp_two_layer,0.37,0.093558115,0.001047207,0.002870795,0.050335285
1,credit_card,mlp_three_layer,0.37,0.096122208,0.001105402,0.002870795,0.04911187
1,credit_card,sgd_lr,0.39,0.074323437,0.000660844,0.003787675,0.018313575
1,credit_card,mlp_one_layer,0.39,0.078637605,0.000739797,0.003787675,0.040232235
1,credit_card,mlp_two_layer,0.39,0.106034752,0.001345188,0.003787675,0.088017207
1,credit_card,mlp_three_layer,0.39,0.09249143,0.001023461,0.003787675,0.068264255
1,credit_card,sgd_lr,0.41,0.07582147,0.000687754,0.004747005,0.017098549
1,credit_card,mlp_one_layer,0.41,0.088538434,0.000937836,0.004747005,0.039445948
1,credit_card,mlp_two_layer,0.41,0.095865275,0.0010995,0.004747005,0.062625746
1,credit_card,mlp_three_layer,0.41,0.100714918,0.001213575,0.004747005,0.07289305
1,credit_card,sgd_lr,0.43,0.089740694,0.000963482,0.00612115,0.019732546
1,credit_card,mlp_one_layer,0.43,0.094046218,0.001058164,0.00612115,0.042640538
1,credit_card,mlp_two_layer,0.43,0.108364716,0.001404966,0.00612115,0.125877427
1,credit_card,mlp_three_layer,0.43,0.13550493,0.002197077,0.00612115,0.05339026
1,credit_card,sgd_lr,0.45,0.090253365,0.000974523,0.007015818,0.019184729
1,credit_card,mlp_one_layer,0.45,0.101771765,0.001239182,0.007015818,0.036657694
1,credit_card,mlp_two_layer,0.45,0.126948703,0.001928307,0.007015818,0.062599632
1,credit_card,mlp_three_layer,0.45,0.134333493,0.002159243,0.007015818,0.073746886
1,credit_card,sgd_lr,0.47,0.108168804,0.001399889,0.008234494,0.021966298
1,credit_card,mlp_one_layer,0.47,0.132470022,0.002099736,0.008234494,0.039563597
1,credit_card,mlp_two_layer,0.47,0.149985561,0.00269192,0.008234494,0.074949731
1,credit_card,mlp_three_layer,0.47,0.135120442,0.002184622,0.008234494,0.103168241
1,credit_card,sgd_lr,0.49,0.110766165,0.001467938,0.009327505,0.023866605
1,credit_card,mlp_one_layer,0.49,0.129772913,0.002015082,0.009327505,0.050447951
1,credit_card,mlp_two_layer,0.49,0.150846382,0.002722919,0.009327505,0.125965474
1,credit_card,mlp_three_layer,0.49,0.150873508,0.002723899,0.009327505,0.114115102
1,credit_card,sgd_lr,0.51,0.123480058,0.001824347,0.01090886,0.024379776
1,credit_card,mlp_one_layer,0.51,0.141757807,0.002404589,0.01090886,0.042540317
1,credit_card,mlp_two_layer,0.51,0.173964618,0.003621913,0.01090886,0.055606123
1,credit_card,mlp_three_layer,0.51,0.158403142,0.003002676,0.01090886,0.160340516
1,credit_card,sgd_lr,0.53,0.137638983,0.002266845,0.012877487,0.025975853
1,credit_card,mlp_one_layer,0.53,0.153321816,0.002813054,0.012877487,0.054289513
1,credit_card,mlp_two_layer,0.53,0.188337938,0.004245485,0.012877487,0.084842777
1,credit_card,mlp_three_layer,0.53,0.16791209,0.003374163,0.012877487,0.072636974
1,credit_card,sgd_lr,0.55,0.147574957,0.002606055,0.014288789,0.028393189
1,credit_card,mlp_one_layer,0.55,0.176488676,0.003727828,0.014288789,0.057709066
1,credit_card,mlp_two_layer,0.55,0.200493551,0.004811548,0.014288789,0.052813922
1,credit_card,mlp_three_layer,0.55,0.2034638,0.00495526,0.014288789,0.126202973
1,credit_card,sgd_lr,0.57,0.140427991,0.002359672,0.015997609,0.026136233
1,credit_card,mlp_one_layer,0.57,0.178419195,0.003809869,0.015997609,0.05155972
1,credit_card,mlp_two_layer,0.57,0.192940544,0.004455646,0.015997609,0.089912449
1,credit_card,mlp_three_layer,0.57,0.198979481,0.004739106,0.015997609,0.143125783
1,credit_card,sgd_lr,0.59,0.154077316,0.002840855,0.01691098,0.028258243
1,credit_card,mlp_one_layer,0.59,0.187494349,0.004207517,0.01691098,0.051917313
1,credit_card,mlp_two_layer,0.59,0.198631331,0.004722527,0.01691098,0.090923095
1,credit_card,mlp_three_layer,0.59,0.245276918,0.007203337,0.01691098,0.106719064
1,credit_card,sgd_lr,0.61,0.16754978,0.003359611,0.019200765,0.029437182
1,credit_card,mlp_one_layer,0.61,0.192880832,0.004452887,0.019200765,0.054940917
1,credit_card,mlp_two_layer,0.61,0.217041641,0.005639198,0.019200765,0.119557388
1,credit_card,mlp_three_layer,0.61,0.261371367,0.008180732,0.019200765,0.183057688
1,credit_card,sgd_lr,0.63,0.171554583,0.003522209,0.020893523,0.032686671
1,credit_card,mlp_one_layer,0.63,0.210433847,0.00530082,0.020893523,0.046263077
1,credit_card,mlp_two_layer,0.63,0.276765819,0.009173979,0.020893523,0.098210331
1,credit_card,mlp_three_layer,0.63,0.257085576,0.00791437,0.020893523,0.078529141
1,credit_card,sgd_lr,0.65,0.184625269,0.004079665,0.023505472,0.035079197
1,credit_card,mlp_one_layer,0.65,0.212875957,0.005424656,0.023505472,0.068084905
